class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
28536,10361,280,"Baby Green Hunter 2'6""",5,2371,Double Down,Laura R. Jakubauskas,Carol Lynn Richards,,
28536,10361,280,"Baby Green Hunter 2'6""",6,1918,The Flying Dutchman,Bryce P. Richardson,Caitlin J. Andersen,,
28536,10361,280,"Baby Green Hunter 2'6""",7,2454,Sf Valentino,Jamie Reinheimer,Jamie Reinheimer,,
28537,10361,281,"Baby Green Hunter 2'6""",1,2031,Menlo Park,Jake Evans,Margot Hirsch,,
28537,10361,281,"Baby Green Hunter 2'6""",2,1522,Calid 3,Jake Evans,Summer Smith,,
28537,10361,281,"Baby Green Hunter 2'6""",3,2358,Paddington,Natalie Johnson Russell,Annabel Cross,,
28537,10361,281,"Baby Green Hunter 2'6""",4,2454,Sf Valentino,Jamie Reinheimer,Jamie Reinheimer,,
28537,10361,281,"Baby Green Hunter 2'6""",5,1848,Mystery Man,Tricia J. O'Connor,Schuyler Dayner,,
28537,10361,281,"Baby Green Hunter 2'6""",6,2371,Double Down,Laura R. Jakubauskas,Carol Lynn Richards,,
28537,10361,281,"Baby Green Hunter 2'6""",7,1918,The Flying Dutchman,Bryce P. Richardson,Caitlin J. Andersen,,
28538,10361,282,"Baby Green Hunter 2'6""",1,2031,Menlo Park,Jake Evans,Margot Hirsch,,
28538,10361,282,"Baby Green Hunter 2'6""",2,2358,Paddington,Natalie Johnson Russell,Annabel Cross,,
28538,10361,282,"Baby Green Hunter 2'6""",3,1522,Calid 3,Jake Evans,Summer Smith,,
28538,10361,282,"Baby Green Hunter 2'6""",4,1848,Mystery Man,Tricia J. O'Connor,Schuyler Dayner,,
28538,10361,282,"Baby Green Hunter 2'6""",5,2371,Double Down,Laura R. Jakubauskas,Carol Lynn Richards,,
28538,10361,282,"Baby Green Hunter 2'6""",6,1918,The Flying Dutchman,Bryce P. Richardson,Caitlin J. Andersen,,
28538,10361,282,"Baby Green Hunter 2'6""",7,2454,Sf Valentino,Jamie Reinheimer,Jamie Reinheimer,,
28539,10361,283,"Baby Green Hunter 2'6""",1,2031,Menlo Park,Jake Evans,Margot Hirsch,,
28539,10361,283,"Baby Green Hunter 2'6""",2,2358,Paddington,Natalie Johnson Russell,Annabel Cross,,
28539,10361,283,"Baby Green Hunter 2'6""",3,1522,Calid 3,Jake Evans,Summer Smith,,
28539,10361,283,"Baby Green Hunter 2'6""",4,1848,Mystery Man,Tricia J. O'Connor,Schuyler Dayner,,
28539,10361,283,"Baby Green Hunter 2'6""",5,1918,The Flying Dutchman,Bryce P. Richardson,Caitlin J. Andersen,,
28539,10361,283,"Baby Green Hunter 2'6""",6,2371,Double Down,Laura R. Jakubauskas,Carol Lynn Richards,,
28540,10361,284,"Baby Green Hunter U/S 2'6""",1,2358,Paddington,Natalie Johnson Russell,Annabel Cross,,
28540,10361,284,"Baby Green Hunter U/S 2'6""",2,2031,Menlo Park,Jake Evans,Margot Hirsch,,
28540,10361,284,"Baby Green Hunter U/S 2'6""",3,1522,Calid 3,Summer Smith,Summer Smith,,
28540,10361,284,"Baby Green Hunter U/S 2'6""",4,1918,The Flying Dutchman,Bryce P. Richardson,Caitlin J. Andersen,,
28540,10361,284,"Baby Green Hunter U/S 2'6""",5,2371,Double Down,Laura R. Jakubauskas,Carol Lynn Richards,,
28540,10361,284,"Baby Green Hunter U/S 2'6""",,1848,Mystery Man,Tricia J. O'Connor,Schuyler Dayner,,
28540,10361,284,"Baby Green Hunter U/S 2'6""",,2454,Sf Valentino,Jamie Reinheimer,Jamie Reinheimer,,
28840,10363,310,"Low Children's Hunter 2'6""",1,1515,Global Express Vdl,Neyla Pando,Kimberly A. Mccormack,,
28840,10363,310,"Low Children's Hunter 2'6""",2,1176,Fadalka - Zeldenrust,Sophia Corrao,Ella Alvarez,,
28840,10363,310,"Low Children's Hunter 2'6""",3,1010,Partyman,Adelaide Sandwith,Adelaide Sandwith,,
28840,10363,310,"Low Children's Hunter 2'6""",4,1178,Rasgo La Silla,Phoenyx Sandoval,Phoenyx Sandoval,,
28840,10363,310,"Low Children's Hunter 2'6""",5,1944,Richemont,Iliana Bonds,Iliana Bonds,,
28841,10363,311,"Low Children's Hunter (1st rnd Classic) 2'6""",1,1176,Fadalka - Zeldenrust,Sophia Corrao,Ella Alvarez,,
28841,10363,311,"Low Children's Hunter (1st rnd Classic) 2'6""",2,1515,Global Express Vdl,Neyla Pando,Kimberly A. Mccormack,,
28841,10363,311,"Low Children's Hunter (1st rnd Classic) 2'6""",3,1178,Rasgo La Silla,Phoenyx Sandoval,Phoenyx Sandoval,,
28841,10363,311,"Low Children's Hunter (1st rnd Classic) 2'6""",4,1010,Partyman,Adelaide Sandwith,Adelaide Sandwith,,
28841,10363,311,"Low Children's Hunter (1st rnd Classic) 2'6""",5,1944,Richemont,Iliana Bonds,Iliana Bonds,,
28842,10363,312,"Low Children's Hunter 2'6""",1,1178,Rasgo La Silla,Phoenyx Sandoval,Phoenyx Sandoval,,
28842,10363,312,"Low Children's Hunter 2'6""",2,1515,Global Express Vdl,Neyla Pando,Kimberly A. Mccormack,,
28842,10363,312,"Low Children's Hunter 2'6""",3,1176,Fadalka - Zeldenrust,Sophia Corrao,Ella Alvarez,,
28842,10363,312,"Low Children's Hunter 2'6""",4,1010,Partyman,Adelaide Sandwith,Adelaide Sandwith,,
28842,10363,312,"Low Children's Hunter 2'6""",5,1944,Richemont,Iliana Bonds,Iliana Bonds,,
28843,10363,313,"Low Children's Hunter 2'6""",1,1515,Global Express Vdl,Neyla Pando,Kimberly A. Mccormack,,
28843,10363,313,"Low Children's Hunter 2'6""",2,1176,Fadalka - Zeldenrust,Sophia Corrao,Ella Alvarez,,
28843,10363,313,"Low Children's Hunter 2'6""",3,1178,Rasgo La Silla,Phoenyx Sandoval,Phoenyx Sandoval,,
28843,10363,313,"Low Children's Hunter 2'6""",4,1944,Richemont,Iliana Bonds,Iliana Bonds,,
28843,10363,313,"Low Children's Hunter 2'6""",5,1010,Partyman,Adelaide Sandwith,Adelaide Sandwith,,
28844,10363,314,"Low Children's Hunter U/S/2'6""",1,1944,Richemont,Iliana Bonds,Iliana Bonds,0.00,
28844,10363,314,"Low Children's Hunter U/S/2'6""",2,1010,Partyman,Adelaide Sandwith,Adelaide Sandwith,0.00,
28844,10363,314,"Low Children's Hunter U/S/2'6""",3,1515,Global Express Vdl,Neyla Pando,Kimberly A. Mccormack,0.00,
28844,10363,314,"Low Children's Hunter U/S/2'6""",4,1176,Fadalka - Zeldenrust,Sophia Corrao,Ella Alvarez,0.00,
28844,10363,314,"Low Children's Hunter U/S/2'6""",5,1178,Rasgo La Silla,Phoenyx Sandoval,Phoenyx Sandoval,0.00,
28332,10365,315,"Low Adult Hunter 2'6""",1,1301,Quatro,Leah Blomquist,Jackie Sawyer,,
28332,10365,315,"Low Adult Hunter 2'6""",2,1428,Insightful,Emma Terry,Kendall Bland,,
28332,10365,315,"Low Adult Hunter 2'6""",3,1748,Center Stage,Catherine Souza,Catherine Souza,,
28332,10365,315,"Low Adult Hunter 2'6""",4,1329,Czar Hs,Rachel Fugate,Rachel Fugate,,
28332,10365,315,"Low Adult Hunter 2'6""",5,2666,Best Of Me,Ashley Wallace,Ashley Wallace,,
28332,10365,315,"Low Adult Hunter 2'6""",6,1007,Light It Up,Kimberly S. Maloomian,Theodore Iorio,,
28332,10365,315,"Low Adult Hunter 2'6""",7,2031,Menlo Park,Margot Hirsch,Margot Hirsch,,
28332,10365,315,"Low Adult Hunter 2'6""",8,2369,Winning Von Z,Briana Elizabeth,Briana Elizabeth,,
28332,10365,315,"Low Adult Hunter 2'6""",,1548,Tesserae,Bhuvana Barish,Linda D. Viens,,
28332,10365,315,"Low Adult Hunter 2'6""",,1554,Going Global,Lindsay Meyer,Kendall Lacy,,
28332,10365,315,"Low Adult Hunter 2'6""",,1915,Fbf Sundrop,Stacy A. Ryback,Stacy A. Ryback,,
28332,10365,315,"Low Adult Hunter 2'6""",,1924,Argento 2,Aubrey Frank,Aubrey Frank,,
28332,10365,315,"Low Adult Hunter 2'6""",,1934,Pompidou,Samantha Derosa,Lucky Farm,,
28332,10365,315,"Low Adult Hunter 2'6""",,1936,Sf Old Fashioned,Sadie Koresh,Janie Stevenson,,
28332,10365,315,"Low Adult Hunter 2'6""",,1942,Laguna Beach,Kristine Holt,Kristine Holt,,
28332,10365,315,"Low Adult Hunter 2'6""",,1943,Lyrical,Zoe Johnson,Shawna Curtis,,
28332,10365,315,"Low Adult Hunter 2'6""",,1973,On The Rocks,Courtney Blackburn,Courtney Blackburn,,
28332,10365,315,"Low Adult Hunter 2'6""",,1977,Just A Gentleman,Brittany G. Wyatt,Brittany G. Wyatt,,
28332,10365,315,"Low Adult Hunter 2'6""",,1989,Buzz Kill,Katie Rowan,Katie Rowan,,
28332,10365,315,"Low Adult Hunter 2'6""",,2021,Crescendo 55,Andrea Clark,Andrea Clark,,
28332,10365,315,"Low Adult Hunter 2'6""",,2350,Likely,Gayle K. Cox,Gunnar P. Roeer,,
28332,10365,315,"Low Adult Hunter 2'6""",,2520,Dicaprio,Emily F. H. Buxton,Pinnacle Pointe Equestrian,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",1,1301,Quatro,Leah Blomquist,Jackie Sawyer,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",2,2666,Best Of Me,Ashley Wallace,Ashley Wallace,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",3,1007,Light It Up,Kimberly S. Maloomian,Theodore Iorio,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",4,1329,Czar Hs,Rachel Fugate,Rachel Fugate,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",5,1428,Insightful,Emma Terry,Kendall Bland,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",6,1936,Sf Old Fashioned,Sadie Koresh,Janie Stevenson,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",7,1748,Center Stage,Catherine Souza,Catherine Souza,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",8,1977,Just A Gentleman,Brittany G. Wyatt,Brittany G. Wyatt,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",,1548,Tesserae,Bhuvana Barish,Linda D. Viens,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",,1554,Going Global,Lindsay Meyer,Kendall Lacy,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",,1915,Fbf Sundrop,Stacy A. Ryback,Stacy A. Ryback,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",,1924,Argento 2,Aubrey Frank,Aubrey Frank,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",,1934,Pompidou,Samantha Derosa,Lucky Farm,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",,1943,Lyrical,Zoe Johnson,Shawna Curtis,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",,1973,On The Rocks,Courtney Blackburn,Courtney Blackburn,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",,1989,Buzz Kill,Katie Rowan,Katie Rowan,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",,2021,Crescendo 55,Andrea Clark,Andrea Clark,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",,2031,Menlo Park,Margot Hirsch,Margot Hirsch,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",,2350,Likely,Gayle K. Cox,Gunnar P. Roeer,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",,2369,Winning Von Z,Briana Elizabeth,Briana Elizabeth,,
28770,10365,316,"Low Adult Hunter (1st rnd Classic) 2'6""",,2520,Dicaprio,Emily F. H. Buxton,Pinnacle Pointe Equestrian,,
28771,10365,317,"Low Adult Hunter 2'6""",1,1301,Quatro,Leah Blomquist,Jackie Sawyer,0.00,
28771,10365,317,"Low Adult Hunter 2'6""",2,1007,Light It Up,Kimberly S. Maloomian,Theodore Iorio,0.00,
28771,10365,317,"Low Adult Hunter 2'6""",3,2520,Dicaprio,Emily F. H. Buxton,Pinnacle Pointe Equestrian,0.00,
28771,10365,317,"Low Adult Hunter 2'6""",4,2666,Best Of Me,Ashley Wallace,Ashley Wallace,0.00,
28771,10365,317,"Low Adult Hunter 2'6""",5,1748,Center Stage,Catherine Souza,Catherine Souza,0.00,
28771,10365,317,"Low Adult Hunter 2'6""",6,2031,Menlo Park,Margot Hirsch,Margot Hirsch,0.00,
28771,10365,317,"Low Adult Hunter 2'6""",7,1915,Fbf Sundrop,Stacy A. Ryback,Stacy A. Ryback,0.00,
28771,10365,317,"Low Adult Hunter 2'6""",8,1554,Going Global,Lindsay Meyer,Kendall Lacy,0.00,
28771,10365,317,"Low Adult Hunter 2'6""",,1329,Czar Hs,Rachel Fugate,Rachel Fugate,,
28771,10365,317,"Low Adult Hunter 2'6""",,1428,Insightful,Emma Terry,Kendall Bland,,
28771,10365,317,"Low Adult Hunter 2'6""",,1924,Argento 2,Aubrey Frank,Aubrey Frank,,
28771,10365,317,"Low Adult Hunter 2'6""",,1934,Pompidou,Samantha Derosa,Lucky Farm,,
28771,10365,317,"Low Adult Hunter 2'6""",,1936,Sf Old Fashioned,Sadie Koresh,Janie Stevenson,,
28771,10365,317,"Low Adult Hunter 2'6""",,1943,Lyrical,Zoe Johnson,Shawna Curtis,,
28771,10365,317,"Low Adult Hunter 2'6""",,1977,Just A Gentleman,Brittany G. Wyatt,Brittany G. Wyatt,,
28771,10365,317,"Low Adult Hunter 2'6""",,2021,Crescendo 55,Andrea Clark,Andrea Clark,,
28771,10365,317,"Low Adult Hunter 2'6""",,2350,Likely,Gayle K. Cox,Gunnar P. Roeer,,
28771,10365,317,"Low Adult Hunter 2'6""",,2369,Winning Von Z,Briana Elizabeth,Briana Elizabeth,,
28772,10365,318,"Low Adult Hunter 2'6""",1,1007,Light It Up,Kimberly S. Maloomian,Theodore Iorio,0.00,
28772,10365,318,"Low Adult Hunter 2'6""",2,1301,Quatro,Leah Blomquist,Jackie Sawyer,0.00,
28772,10365,318,"Low Adult Hunter 2'6""",3,2666,Best Of Me,Ashley Wallace,Ashley Wallace,0.00,
28772,10365,318,"Low Adult Hunter 2'6""",4,2520,Dicaprio,Emily F. H. Buxton,Pinnacle Pointe Equestrian,0.00,
28772,10365,318,"Low Adult Hunter 2'6""",5,1428,Insightful,Emma Terry,Kendall Bland,0.00,
28772,10365,318,"Low Adult Hunter 2'6""",6,1554,Going Global,Lindsay Meyer,Kendall Lacy,0.00,
28772,10365,318,"Low Adult Hunter 2'6""",7,2031,Menlo Park,Margot Hirsch,Margot Hirsch,0.00,
28772,10365,318,"Low Adult Hunter 2'6""",8,1748,Center Stage,Catherine Souza,Catherine Souza,0.00,
28772,10365,318,"Low Adult Hunter 2'6""",,1329,Czar Hs,Rachel Fugate,Rachel Fugate,,
28772,10365,318,"Low Adult Hunter 2'6""",,1915,Fbf Sundrop,Stacy A. Ryback,Stacy A. Ryback,,
28772,10365,318,"Low Adult Hunter 2'6""",,1924,Argento 2,Aubrey Frank,Aubrey Frank,,
28772,10365,318,"Low Adult Hunter 2'6""",,1934,Pompidou,Samantha Derosa,Lucky Farm,,
28772,10365,318,"Low Adult Hunter 2'6""",,1936,Sf Old Fashioned,Sadie Koresh,Janie Stevenson,,
28772,10365,318,"Low Adult Hunter 2'6""",,1943,Lyrical,Zoe Johnson,Shawna Curtis,,
28772,10365,318,"Low Adult Hunter 2'6""",,1977,Just A Gentleman,Brittany G. Wyatt,Brittany G. Wyatt,,
28772,10365,318,"Low Adult Hunter 2'6""",,2021,Crescendo 55,Andrea Clark,Andrea Clark,,
28772,10365,318,"Low Adult Hunter 2'6""",,2350,Likely,Gayle K. Cox,Gunnar P. Roeer,,
28772,10365,318,"Low Adult Hunter 2'6""",,2369,Winning Von Z,Briana Elizabeth,Briana Elizabeth,,
28773,10365,319,"Low Adult Hunter U/S 2'6""",1,2666,Best Of Me,Ashley Wallace,Ashley Wallace,0.00,
28773,10365,319,"Low Adult Hunter U/S 2'6""",2,1924,Argento 2,Aubrey Frank,Aubrey Frank,0.00,
28773,10365,319,"Low Adult Hunter U/S 2'6""",3,1007,Light It Up,Kimberly S. Maloomian,Theodore Iorio,0.00,
28773,10365,319,"Low Adult Hunter U/S 2'6""",4,2350,Likely,Gayle K. Cox,Gunnar P. Roeer,0.00,
28773,10365,319,"Low Adult Hunter U/S 2'6""",5,1554,Going Global,Lindsay Meyer,Kendall Lacy,0.00,
28773,10365,319,"Low Adult Hunter U/S 2'6""",6,1936,Sf Old Fashioned,Sadie Koresh,Janie Stevenson,0.00,
28773,10365,319,"Low Adult Hunter U/S 2'6""",7,1934,Pompidou,Samantha Derosa,Lucky Farm,0.00,
28773,10365,319,"Low Adult Hunter U/S 2'6""",8,1329,Czar Hs,Rachel Fugate,Rachel Fugate,0.00,
28773,10365,319,"Low Adult Hunter U/S 2'6""",,1301,Quatro,Leah Blomquist,Jackie Sawyer,,
28773,10365,319,"Low Adult Hunter U/S 2'6""",,1428,Insightful,Emma Terry,Kendall Bland,,
28773,10365,319,"Low Adult Hunter U/S 2'6""",,1915,Fbf Sundrop,Stacy A. Ryback,Stacy A. Ryback,,
28773,10365,319,"Low Adult Hunter U/S 2'6""",,1943,Lyrical,Zoe Johnson,Shawna Curtis,,
28773,10365,319,"Low Adult Hunter U/S 2'6""",,1977,Just A Gentleman,Brittany G. Wyatt,Brittany G. Wyatt,,
28773,10365,319,"Low Adult Hunter U/S 2'6""",,2021,Crescendo 55,Andrea Clark,Andrea Clark,,
28773,10365,319,"Low Adult Hunter U/S 2'6""",,2031,Menlo Park,Margot Hirsch,Margot Hirsch,,
28773,10365,319,"Low Adult Hunter U/S 2'6""",,2369,Winning Von Z,Briana Elizabeth,Briana Elizabeth,,
28773,10365,319,"Low Adult Hunter U/S 2'6""",,2520,Dicaprio,Emily F. H. Buxton,Pinnacle Pointe Equestrian,,
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",1,1846,Carlos He’las,Evana Somareddy,Adair Moses,173.50,"$1,500"
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",2,2040,Troubador,Stephanie Frey,Suzanne Deuel,172.50,"$1,100"
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",3,1854,Keira Usa,Madison Wayda Smith,Julie P. Montgomery,171.00,$525
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",3,1981,E'Clipse Solaire,Bailey P. Tims-Ferira,Michelle Izzi,171.00,$525
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",5,1976,Debonair,Jennifer Tate,Barbara E. Kravetz,166.50,$300
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",6,1833,Cortalima Z,Josephine Foshee,Josephine Foshee,166.00,$250
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",7,1823,Aperture Vf,Lia Screnci,Volado Farms,154.00,$200
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",8,2071,Ludo,Stephanie Frey,Joe Nash,151.00,$150
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",9,1931,Cotentin Des Roques,Windsor Ryan,Windsor Stables LLC,145.00,$150
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",10,2368,Cheque,Jake Evans,Isltime LLC,136.00,$100
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",11,2344,Dali Kelfshof Z,Eric McCarthy,Delaney Mcdowell,132.50,$100
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",12,1555,Katch Can-Do,Olivia Israel,Hill House Farm LLC,127.00,$100
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",,1176,Fadalka - Zeldenrust,Ella Alvarez,Ella Alvarez,,
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",,1185,Macallan,Reagan Brown,Reagan Brown,,
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",,1190,Talk To Me,Kendall King,Kendall King,,
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",,1662,Miles Ahead,Katherine F. Dewar,Katherine F. Dewar,,
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",,1756,Virella,Riley Delbecq,Cynthia D Mesker,,
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",,1835,Sulu,Olivia Boan,Unknown Person,,
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",,1840,Glendorado,Olivia Gore,Olivia Gore,,
28659,0,404,"$5,000 USHJA UF Vet Hunter Derby 3'",,2361,Casuall,John Michael Durr,Ava Hicks,,
28658,0,408,"$750 WEC 2'6"" Hunt and Go Derby",1,2666,Best Of Me,Ashley Wallace,Ashley Wallace,169.00,$225
28658,0,408,"$750 WEC 2'6"" Hunt and Go Derby",2,1176,Fadalka - Zeldenrust,Sophia Corrao,Ella Alvarez,160.00,$165
28658,0,408,"$750 WEC 2'6"" Hunt and Go Derby",3,2350,Likely,Gayle K. Cox,Gunnar P. Roeer,145.00,$97.5
28658,0,408,"$750 WEC 2'6"" Hunt and Go Derby",4,2048,Faylin’s Baby Boomer,Kennedy Donaldson,Markie Morrison,134.00,$60
28658,0,408,"$750 WEC 2'6"" Hunt and Go Derby",5,1329,Czar Hs,Rachel Fugate,Rachel Fugate,113.00,$45
28658,0,408,"$750 WEC 2'6"" Hunt and Go Derby",6,1178,Rasgo La Silla,Phoenyx Sandoval,Phoenyx Sandoval,105.00,$37.5
28658,0,408,"$750 WEC 2'6"" Hunt and Go Derby",7,2021,Crescendo 55,Andrea Clark,Andrea Clark,70.00,$30
28658,0,408,"$750 WEC 2'6"" Hunt and Go Derby",8,1977,Just A Gentleman,Brittany G. Wyatt,Brittany G. Wyatt,40.00,$22.5
28658,0,408,"$750 WEC 2'6"" Hunt and Go Derby",,1989,Buzz Kill,Katie Rowan,Katie Rowan,0.00,
33482,0,412,"$1500 AO/JR Hunter Classic 3'3""/3'6""",1,1190,Talk To Me,Kendall King,Kendall King,84,$450
33482,0,412,"$1500 AO/JR Hunter Classic 3'3""/3'6""",2,1008,Lost Boy,Kimberly S. Maloomian,Terry S Maloomian,82,$330
33482,0,412,"$1500 AO/JR Hunter Classic 3'3""/3'6""",3,1835,Sulu,Olivia Boan,Olivia Boan,82,$225
33482,0,412,"$1500 AO/JR Hunter Classic 3'3""/3'6""",4,1009,Only Always,Kimberly S. Maloomian,Kimberly S. Maloomian,78,$180
33482,0,412,"$1500 AO/JR Hunter Classic 3'3""/3'6""",5,1555,Katch Can-Do,Olivia Israel,Hill House Farm LLC,77,$165
33482,0,412,"$1500 AO/JR Hunter Classic 3'3""/3'6""",6,1834,Gotham,Sophia Williams,Lauren Hatley,66,$150
33482,0,412,"$1500 AO/JR Hunter Classic 3'3""/3'6""",7,1185,Macallan,Reagan Brown,Reagan Brown,70,
33482,0,412,"$1500 AO/JR Hunter Classic 3'3""/3'6""",8,1833,Cortalima Z,Josephine Foshee,Josephine Foshee,73,
28667,0,420,"$350 Children's Pony Hunter Classic 2'6""/2'",1,1254,Howie Do It,Claire de Hechavarria,Finley Morgan,82,$87.5
28667,0,420,"$350 Children's Pony Hunter Classic 2'6""/2'",2,1174,Café Con Leche,Amelia Hollis,Amelia Hollis,77,$66.5
28667,0,420,"$350 Children's Pony Hunter Classic 2'6""/2'",3,1841,Pixar,Chloe Hawbaker,Dana Long,78,$52.5
28667,0,420,"$350 Children's Pony Hunter Classic 2'6""/2'",4,2026,Marvel Comic,Halen Bobowski,Joe Currais,65,$35
28667,0,420,"$350 Children's Pony Hunter Classic 2'6""/2'",5,1179,Right On Target,Avery Kranitz,Avery Kranitz,60,$31.5
28667,0,420,"$350 Children's Pony Hunter Classic 2'6""/2'",6,2048,Faylin’s Baby Boomer,Kennedy Donaldson,Markie Morrison,66,$28
28668,0,421,$1000 Children's Hunter Classic 3',1,1930,Champ,Windsor Ryan,Windsor Stables LLC,85,$250
28668,0,421,$1000 Children's Hunter Classic 3',2,1520,Verdi,Scarlett Yana,Scarlett Yana,80,$190
28668,0,421,$1000 Children's Hunter Classic 3',3,1528,Mtm Crowd Favorite,Summer Smith,Alexandra Addison,78,$150
28668,0,421,$1000 Children's Hunter Classic 3',4,2104,Lunada Bay,Brooke Billesdon,Kathryn Billesdon,65,$100
28668,0,421,$1000 Children's Hunter Classic 3',5,1187,Phantom,Adelyn Miller,Adelyn Miller,69,$90
28668,0,421,$1000 Children's Hunter Classic 3',6,1929,Alesso,Windsor Ryan,Windsor Stables LLC,83,$80
28668,0,421,$1000 Children's Hunter Classic 3',7,1654,Fever Dream,Riley Hilliard,Riley Hilliard,74,$70
28668,0,421,$1000 Children's Hunter Classic 3',8,1840,Glendorado,Olivia Gore,Olivia Gore,73,$70
28668,0,421,$1000 Children's Hunter Classic 3',9,2101,Collin Fz Z,Brooke Billesdon,Brooke Billesdon,81,
28669,0,423,$1000 Adult Hunter Classic 3',1,2070,Krowd Pleaser,Alexis Jessee,Alexis Jessee,86,$250
28669,0,423,$1000 Adult Hunter Classic 3',2,1760,Pistachio,Tarrin Kirby,Tarrin Kirby,80,$190
28669,0,423,$1000 Adult Hunter Classic 3',3,1191,Wordsmith,Heidi White,Allison Wise,77,$150
28669,0,423,$1000 Adult Hunter Classic 3',4,2064,Oslo Mk,Avery Mccracken,Elizabeth C. de Golian,76,$100
28669,0,423,$1000 Adult Hunter Classic 3',5,1941,Enjoy Du Gue,Zoe Johnson,Zoe Johnson,74,$90
28669,0,423,$1000 Adult Hunter Classic 3',6,2032,Novel-T,Lee D. Cesery,Lee D. Cesery,65,$80
28669,0,423,$1000 Adult Hunter Classic 3',7,2523,Lugano,Liliana Nora Menesi,Erin M. Mccabe Clayton,45,$70
33483,0,425,"$500 Low Adult/Child Hunter Classic 2'6""",1,2666,Best Of Me,Ashley Wallace,Ashley Wallace,84,$125
33483,0,425,"$500 Low Adult/Child Hunter Classic 2'6""",2,1301,Quatro,Leah Blomquist,Jackie Sawyer,85,$95
33483,0,425,"$500 Low Adult/Child Hunter Classic 2'6""",3,1007,Light It Up,Kimberly S. Maloomian,Theodore Iorio,81,$75
33483,0,425,"$500 Low Adult/Child Hunter Classic 2'6""",4,2031,Menlo Park,Margot Hirsch,Margot Hirsch,78,$50
33483,0,425,"$500 Low Adult/Child Hunter Classic 2'6""",5,1329,Czar Hs,Rachel Fugate,Rachel Fugate,80.5,$45
33483,0,425,"$500 Low Adult/Child Hunter Classic 2'6""",6,1977,Just A Gentleman,Brittany G. Wyatt,Brittany G. Wyatt,78.5,$40
33483,0,425,"$500 Low Adult/Child Hunter Classic 2'6""",7,1428,Insightful,Emma Terry,Kendall Bland,80,$35
33483,0,425,"$500 Low Adult/Child Hunter Classic 2'6""",8,1748,Center Stage,Catherine Souza,Catherine Souza,79,$35
33483,0,425,"$500 Low Adult/Child Hunter Classic 2'6""",9,1943,Lyrical,Zoe Johnson,Shawna Curtis,78,
33483,0,425,"$500 Low Adult/Child Hunter Classic 2'6""",10,1515,Global Express Vdl,Neyla Pando,Kimberly A. Mccormack,79,
33483,0,425,"$500 Low Adult/Child Hunter Classic 2'6""",11,1176,Fadalka - Zeldenrust,Sophia Corrao,Ella Alvarez,85,
33483,0,425,"$500 Low Adult/Child Hunter Classic 2'6""",12,1936,Sf Old Fashioned,Sadie Koresh,Janie Stevenson,79.5,
33483,0,425,"$500 Low Adult/Child Hunter Classic 2'6""",,1010,Partyman,Adelaide Sandwith,Adelaide Sandwith,67,
